"","Store","Gender","Revenue"
"1","Store A","Male",2981.93744888737
"2","Store A","Male",2984.88026830389
"3","Store A","Male",2987.16302895449
"4","Store A","Male",3004.02097756534
"5","Store A","Male",3013.19834564777
"6","Store A","Male",3000.03886951104
"7","Store A","Male",3010.05578683572
"8","Store A","Male",2996.5790594297
"9","Store A","Male",3012.22496387851
"10","Store A","Male",2995.01525206324
"11","Store A","Male",2981.10005383846
"12","Store A","Male",3001.43743386376
"13","Store A","Male",3026.70990709084
"14","Store A","Male",3010.24935402382
"15","Store A","Male",2998.3469077664
"16","Store A","Male",2999.01169692097
"17","Store A","Male",3015.80142075228
"18","Store A","Male",2998.23444887935
"19","Store A","Male",2992.33758694992
"20","Store A","Male",3004.68162594613
"21","Store A","Male",3007.35133168348
"22","Store A","Male",3023.02201350763
"23","Store A","Male",2987.96742215583
"24","Store A","Male",2996.89023510874
"25","Store A","Male",2982.42304196413
"26","Store A","Male",2996.31275860637
"27","Store A","Male",2988.99592124985
"28","Store A","Male",3007.73650754713
"29","Store A","Male",3011.59319188492
"30","Store A","Male",2998.64629704404
"31","Store A","Male",3028.37369313788
"32","Store A","Male",2990.48360763596
"33","Store A","Male",2999.62247547473
"34","Store A","Male",3010.85814016918
"35","Store A","Male",3012.3979606052
"36","Store A","Male",3004.40152179207
"37","Store A","Male",3011.2872167756
"38","Store A","Male",3001.04495207049
"39","Store A","Male",3017.05745991932
"40","Store A","Male",3002.05602453831
"41","Store A","Male",3002.46214707756
"42","Store A","Male",2995.96459412785
"43","Store A","Male",2998.74726853225
"44","Store A","Male",3004.89338171784
"45","Store A","Male",2997.38425450751
"46","Store A","Male",3018.25684449821
"47","Store A","Male",3005.25291016762
"48","Store A","Male",3011.55599540104
"49","Store A","Male",3000.54041461342
"50","Store A","Male",3009.82147764863
"51","Store A","Female",1005.75100881072
"52","Store A","Female",993.98543588476
"53","Store A","Female",991.94300475988
"54","Store A","Female",995.720844277502
"55","Store A","Female",1010.40374204802
"56","Store A","Female",1012.87253951082
"57","Store A","Female",1005.20985875267
"58","Store A","Female",1018.29225649667
"59","Store A","Female",989.610491068728
"60","Store A","Female",1002.12849451107
"61","Store A","Female",979.947816373512
"62","Store A","Female",1002.86947827628
"63","Store A","Female",1008.43984335972
"64","Store A","Female",996.196636676868
"65","Store A","Female",1009.76635178889
"66","Store A","Female",995.28350913287
"67","Store A","Female",990.721594885723
"68","Store A","Female",1008.15541344346
"69","Store A","Female",998.213027307565
"70","Store A","Female",989.876256412686
"71","Store A","Female",1006.60785500055
"72","Store A","Female",991.286694882885
"73","Store A","Female",1004.33969507048
"74","Store A","Female",1001.2650678533
"75","Store A","Female",993.55560358423
"76","Store A","Female",1005.05627972315
"77","Store A","Female",1005.88714966514
"78","Store A","Female",1006.75741060557
"79","Store A","Female",1010.53126695749
"80","Store A","Female",992.134464295498
"81","Store A","Female",998.665031484685
"82","Store A","Female",999.311436702255
"83","Store A","Female",1006.48937894581
"84","Store A","Female",1011.62873067445
"85","Store A","Female",1006.9791327583
"86","Store A","Female",995.762271616776
"87","Store A","Female",1013.07576146178
"88","Store A","Female",1009.26196312055
"89","Store A","Female",990.763582130922
"90","Store A","Female",992.675608286719
"91","Store A","Female",984.364489392189
"92","Store A","Female",994.827805608624
"93","Store A","Female",990.115293622649
"94","Store A","Female",1002.60176753827
"95","Store A","Female",989.245386015671
"96","Store A","Female",1000.47568009054
"97","Store A","Female",1000.27621320794
"98","Store A","Female",1000.19164534722
"99","Store A","Female",995.877873192984
"100","Store A","Female",1002.63276088287
"101","Store B","Male",2995.28023852822
"102","Store B","Male",2980.26447178053
"103","Store B","Male",3003.10590063368
"104","Store B","Male",3016.06033651802
"105","Store B","Male",3000.29932095958
"106","Store B","Male",3008.98076020668
"107","Store B","Male",3002.3934469691
"108","Store B","Male",2990.22035747797
"109","Store B","Male",3012.02685933341
"110","Store B","Male",2993.31810471847
"111","Store B","Male",2999.35798567285
"112","Store B","Male",3003.27083398654
"113","Store B","Male",3010.39993142836
"114","Store B","Male",2998.43283808361
"115","Store B","Male",2983.94593276293
"116","Store B","Male",3000.09062164828
"117","Store B","Male",3018.53034292659
"118","Store B","Male",3005.84608625836
"119","Store B","Male",2996.48552652322
"120","Store B","Male",2996.1610935863
"121","Store B","Male",2993.36353305343
"122","Store B","Male",2989.09626216137
"123","Store B","Male",3021.31449981788
"124","Store B","Male",2994.34838036958
"125","Store B","Male",3002.80488694906
"126","Store B","Male",3007.53905982569
"127","Store B","Male",2996.30467948064
"128","Store B","Male",3002.13366155624
"129","Store B","Male",3006.72989781246
"130","Store B","Male",2995.7034969545
"131","Store B","Male",2985.11115591954
"132","Store B","Male",3005.73506605454
"133","Store B","Male",2979.06470323636
"134","Store B","Male",2977.01399431463
"135","Store B","Male",2993.80765524623
"136","Store B","Male",3004.27344261878
"137","Store B","Male",2998.65332462835
"138","Store B","Male",3002.77539752075
"139","Store B","Male",2998.73728828902
"140","Store B","Male",3009.80848847315
"141","Store B","Male",3002.02883191065
"142","Store B","Male",3023.7184947118
"143","Store B","Male",3013.44273966601
"144","Store B","Male",2986.94406291513
"145","Store B","Male",2997.61581475137
"146","Store B","Male",2997.50751396318
"147","Store B","Male",2991.56683145283
"148","Store B","Male",2985.96098910431
"149","Store B","Male",3012.29707191784
"150","Store B","Male",2998.8421383017
"151","Store B","Female",993.945258068695
"152","Store B","Female",999.082247527422
"153","Store B","Female",998.487916307497
"154","Store B","Female",993.288554174719
"155","Store B","Female",1011.67151898669
"156","Store B","Female",990.260867271121
"157","Store B","Female",998.185154116964
"158","Store B","Female",997.751587160238
"159","Store B","Female",1010.00957103258
"160","Store B","Female",1000.01672103861
"161","Store B","Female",1003.87285031395
"162","Store B","Female",989.063679684613
"163","Store B","Female",995.837592790459
"164","Store B","Female",1008.47201756358
"165","Store B","Female",997.92145241815
"166","Store B","Female",994.487321382554
"167","Store B","Female",992.828004340082
"168","Store B","Female",1017.51270929755
"169","Store B","Female",1016.38581695703
"170","Store B","Female",1000.99755340193
"171","Store B","Female",1002.70030081947
"172","Store B","Female",1005.31695067751
