"","Store","Gender","Revenue"
"1","Store A","Male",989.284660817282
"2","Store A","Male",1007.44005720047
"3","Store A","Male",1006.60728521018
"4","Store A","Male",1004.59510285992
"5","Store A","Male",999.640394560545
"6","Store A","Male",1017.08091414561
"7","Store A","Male",996.725511402539
"8","Store A","Male",996.888216736529
"9","Store A","Male",1004.00956174464
"10","Store A","Male",989.112538726405
"11","Store A","Male",1006.29257508534
"12","Store A","Male",990.398424580121
"13","Store A","Male",995.200825125271
"14","Store A","Male",1000.67507815618
"15","Store A","Male",997.156385361096
"16","Store A","Male",996.347745463937
"17","Store A","Male",1004.81127446936
"18","Store A","Male",1017.50717291123
"19","Store A","Male",1004.898715793
"20","Store A","Male",1001.46677257671
"21","Store A","Male",996.646599513776
"22","Store A","Male",1011.31326894315
"23","Store A","Male",989.7985240228
"24","Store A","Male",989.841515201427
"25","Store A","Male",993.518891588238
"26","Store A","Male",992.530361692289
"27","Store A","Male",1006.4646899415
"28","Store A","Male",1003.05135640027
"29","Store A","Male",1002.63259016176
"30","Store A","Male",1005.95699005644
"31","Store A","Male",987.870722329045
"32","Store A","Male",1000.3356154844
"33","Store A","Male",989.534772914395
"34","Store A","Male",992.058033707841
"35","Store A","Male",1003.40158523201
"36","Store A","Male",993.596867125032
"37","Store A","Male",1013.14717222034
"38","Store A","Male",994.946684045699
"39","Store A","Male",999.714184142718
"40","Store A","Male",987.872694658999
"41","Store A","Male",996.625393809637
"42","Store A","Male",996.179668623085
"43","Store A","Male",1000.12739088805
"44","Store A","Male",1000.45107763344
"45","Store A","Male",1015.7563179911
"46","Store A","Male",1024.5114708043
"47","Store A","Male",988.178248038846
"48","Store A","Male",989.239601682537
"49","Store A","Male",1001.63689908935
"50","Store A","Male",991.845081282461
"51","Store A","Female",3994.12802606746
"52","Store A","Female",3997.68591200093
"53","Store A","Female",3990.27127438672
"54","Store A","Female",3995.59918421165
"55","Store A","Female",3996.80595274716
"56","Store A","Female",3988.70095082397
"57","Store A","Female",3982.4305122179
"58","Store A","Female",4007.94796708257
"59","Store A","Female",4020.72576717817
"60","Store A","Female",4002.27860461175
"61","Store A","Female",4022.55653620388
"62","Store A","Female",3995.86644901812
"63","Store A","Female",4013.42202237251
"64","Store A","Female",3994.03760520934
"65","Store A","Female",4000.35256850638
"66","Store A","Female",4003.57549730498
"67","Store A","Female",3991.25189278358
"68","Store A","Female",3977.66608546629
"69","Store A","Female",4012.34458336483
"70","Store A","Female",4006.55672721511
"71","Store A","Female",4019.68956776163
"72","Store A","Female",3995.22633055355
"73","Store A","Female",3997.88048334079
"74","Store A","Female",3982.72121432754
"75","Store A","Female",4000.55394926243
"76","Store A","Female",4004.46520845454
"77","Store A","Female",4007.16013898952
"78","Store A","Female",3995.21784591259
"79","Store A","Female",4003.4146855085
"80","Store A","Female",3987.31229128012
"81","Store A","Female",3997.9518956566
"82","Store A","Female",3997.59112691319
"83","Store A","Female",3997.95374544404
"84","Store A","Female",3997.69545370713
"85","Store A","Female",4006.00986616874
"86","Store A","Female",4005.88257831301
"87","Store A","Female",3999.67706007974
"88","Store A","Female",4005.38989128494
"89","Store A","Female",3992.0958085297
"90","Store A","Female",4004.58562946954
"91","Store A","Female",4003.1096545051
"92","Store A","Female",4006.03493595795
"93","Store A","Female",4002.68229070391
"94","Store A","Female",4026.67958293272
"95","Store A","Female",4001.8064537735
"96","Store A","Female",4003.49749501745
"97","Store A","Female",3978.2799894343
"98","Store A","Female",4005.50312496082
"99","Store A","Female",3980.96720062457
"100","Store A","Female",3988.42924711538
"101","Store B","Male",6988.26786032297
"102","Store B","Male",6988.11227101408
"103","Store B","Male",6992.04487651241
"104","Store B","Male",7009.93884374906
"105","Store B","Male",7011.97066929632
"106","Store B","Male",6994.1240114567
"107","Store B","Male",6994.29689500628
"108","Store B","Male",6990.83847607595
"109","Store B","Male",7014.92862425614
"110","Store B","Male",6989.92178565341
"111","Store B","Male",7006.5797654132
"112","Store B","Male",6993.43052179836
"113","Store B","Male",6994.76730080071
"114","Store B","Male",7000.3518541037
"115","Store B","Male",7007.46320347023
"116","Store B","Male",7001.10661939055
"117","Store B","Male",7006.93323172387
"118","Store B","Male",6997.75371191979
"119","Store B","Male",7009.56095556716
"120","Store B","Male",7020.04607701052
"121","Store B","Male",6993.43934291527
"122","Store B","Male",7003.447964716
"123","Store B","Male",7005.14606809729
"124","Store B","Male",6978.7314941406
"125","Store B","Male",6995.20298960915
"126","Store B","Male",7016.89009907604
"127","Store B","Male",7017.61249593137
"128","Store B","Male",6991.61393792654
"129","Store B","Male",6999.04399324961
"130","Store B","Male",7029.55042185741
"131","Store B","Male",7009.01846988566
"132","Store B","Male",6995.50351406892
"133","Store B","Male",7006.2029581241
"134","Store B","Male",7017.18921344881
"135","Store B","Male",6985.33704402614
"136","Store B","Male",7005.87162377502
"137","Store B","Male",7001.96951555874
"138","Store B","Male",6999.81853569521
"139","Store B","Male",6999.73508399225
"140","Store B","Male",6995.36333718748
"141","Store B","Male",7013.98708656076
"142","Store B","Male",7009.62651151898
"143","Store B","Male",7008.96106576223
"144","Store B","Male",7027.35642124661
"145","Store B","Male",6999.90713271412
"146","Store B","Male",6997.15745255674
"147","Store B","Male",6990.06712744549
"148","Store B","Male",7004.98511206845
"149","Store B","Male",6997.23435008856
"150","Store B","Male",7005.12144340979
"151","Store B","Female",4013.70964264874
"152","Store B","Female",3994.98469042421
"153","Store B","Female",4004.96523595433
"154","Store B","Female",4004.13725953007
"155","Store B","Female",4008.63586980314
"156","Store B","Female",4000.67451729481
"157","Store B","Female",3994.35667111532
"158","Store B","Female",3996.83183659188
"159","Store B","Female",4006.21162285875
"160","Store B","Female",4013.70899075153
"161","Store B","Female",4002.12020691329
"162","Store B","Female",3996.3872921956
"163","Store B","Female",4005.37106076821
"164","Store B","Female",4003.5545671855
"165","Store B","Female",3992.43509401501
"166","Store B","Female",4007.23784519935
"167","Store B","Female",4014.92487788482
"168","Store B","Female",4008.14918976909
"169","Store B","Female",3991.0717891883
"170","Store B","Female",3983.83405092937
"171","Store B","Female",3988.0235858733
"172","Store B","Female",4008.3147282298
"173","Store B","Female",4005.12533279212
"174","Store B","Female",4005.10552949563
"175","Store B","Female",4012.28484368354
"176","Store B","Female",4009.95730699298
"177","Store B","Female",3995.52664272733
"178","Store B","Female",3983.09303186957
"179","Store B","Female",3999.68698895924
"180","Store B","Female",3990.16571560429
"181","Store B","Female",3990.2626572075
"182","Store B","Female",4000.28750048117
"183","Store B","Female",4025.45787702629
"184","Store B","Female",4018.98718500311
"185","Store B","Female",3995.79662587112
"186","Store B","Female",3999.54458226387
"187","Store B","Female",3995.49078593219
"188","Store B","Female",4001.21170509836
"189","Store B","Female",3993.18538173336
"190","Store B","Female",4009.63928900056
"191","Store B","Female",3997.19691662685
"192","Store B","Female",4003.62768051823
"193","Store B","Female",3995.84157821364
"194","Store B","Female",4006.28587887212
"195","Store B","Female",3981.58264058231
"196","Store B","Female",3985.96596829565
"197","Store B","Female",4000.28976684327
"198","Store B","Female",4011.20032975433
"199","Store B","Female",3999.88335364683
"200","Store B","Female",4002.31213112231
