"","Store","Gender","Revenue"
"1","Store A","Male",4987.4497202184
"2","Store A","Male",4996.53845174902
"3","Store A","Male",5017.78593842405
"4","Store A","Male",4995.10854432989
"5","Store A","Male",4999.52451010652
"6","Store A","Male",4991.76412513304
"7","Store A","Male",5009.19760580876
"8","Store A","Male",5007.94805869596
"9","Store A","Male",4995.65694814886
"10","Store A","Male",5016.25987459979
"11","Store A","Male",4994.69023047615
"12","Store A","Male",4983.80707627347
"13","Store A","Male",4982.66725605943
"14","Store A","Male",5000.39849744324
"15","Store A","Male",4995.55871833178
"16","Store A","Male",4998.05113076632
"17","Store A","Male",4986.78529978628
"18","Store A","Male",5002.05478484934
"19","Store A","Male",5002.01942244246
"20","Store A","Male",5018.06277307038
"21","Store A","Male",5008.66640454666
"22","Store A","Male",5013.27481897686
"23","Store A","Male",4991.15767611272
"24","Store A","Male",5011.95104618547
"25","Store A","Male",4980.90819503406
"26","Store A","Male",5002.71508352099
"27","Store A","Male",4990.69228969594
"28","Store A","Male",4991.27016776091
"29","Store A","Male",4985.41384731839
"30","Store A","Male",5002.67200454311
"31","Store A","Male",4996.5163712224
"32","Store A","Male",5012.08462063611
"33","Store A","Male",4996.75968014718
"34","Store A","Male",5012.4253574312
"35","Store A","Male",4991.32795998929
"36","Store A","Male",5003.57911799173
"37","Store A","Male",4989.9929570305
"38","Store A","Male",5001.02343689354
"39","Store A","Male",4977.31987418969
"40","Store A","Male",5002.4294815607
"41","Store A","Male",5004.09245427145
"42","Store A","Male",5001.31497532839
"43","Store A","Male",4997.01687348569
"44","Store A","Male",5009.31462674543
"45","Store A","Male",4996.14446074203
"46","Store A","Male",4993.43724451124
"47","Store A","Male",4990.3003656681
"48","Store A","Male",5013.55275539841
"49","Store A","Male",4996.20190145209
"50","Store A","Male",5023.46990403648
"51","Store A","Female",10004.2368166007
"52","Store A","Female",9991.20004294338
"53","Store A","Female",10002.3697628852
"54","Store A","Female",10002.4138562709
"55","Store A","Female",10000.6722474847
"56","Store A","Female",10013.4157603576
"57","Store A","Female",10003.4586022173
"58","Store A","Female",10008.7615315933
"59","Store A","Female",9992.68157616504
"60","Store A","Female",9985.32577723869
"61","Store A","Female",10001.5897056847
"62","Store A","Female",9993.32301815668
"63","Store A","Female",10012.5832726631
"64","Store A","Female",9992.79088824996
"65","Store A","Female",9992.69958121687
"66","Store A","Female",10007.5044950098
"67","Store A","Female",9990.20798612536
"68","Store A","Female",10000.6504492164
"69","Store A","Female",10005.1910756226
"70","Store A","Female",10004.7280554355
"71","Store A","Female",9995.6186577193
"72","Store A","Female",9983.25726041559
"73","Store A","Female",10014.9040618541
"74","Store A","Female",9991.86090804132
"75","Store A","Female",9993.47063227676
"76","Store A","Female",10013.132463802
"77","Store A","Female",10003.8288684199
"78","Store A","Female",10008.081656986
"79","Store A","Female",9994.89897901016
"80","Store A","Female",10013.4117768275
"81","Store A","Female",10000.6706838426
"82","Store A","Female",9982.45481311378
"83","Store A","Female",10002.4998080027
"84","Store A","Female",10010.1311644766
"85","Store A","Female",9994.20511444915
"86","Store A","Female",9997.20322216642
"87","Store A","Female",9993.85505028863
"88","Store A","Female",10002.1133972377
"89","Store A","Female",10001.1207027615
"90","Store A","Female",9994.84444869246
"91","Store A","Female",10020.4284986061
"92","Store A","Female",10000.1093265524
"93","Store A","Female",9994.21519953331
"94","Store A","Female",10003.4193046962
"95","Store A","Female",9990.54241796311
"96","Store A","Female",9996.51936168115
"97","Store A","Female",10002.0826766321
"98","Store A","Female",9995.67491396209
"99","Store A","Female",10000.32332367
"100","Store A","Female",10002.3956080984
"101","Store B","Male",10009.0467755187
"102","Store B","Male",10006.9170664341
"103","Store B","Male",9982.69921898164
"104","Store B","Male",9991.06713096816
"105","Store B","Male",9999.49219706061
"106","Store B","Male",9998.1573170075
"107","Store B","Male",10000.1910232463
"108","Store B","Male",10003.6198707244
"109","Store B","Male",10001.8671841559
"110","Store B","Male",9994.23912416678
"111","Store B","Male",9984.40926343307
"112","Store B","Male",9997.27286794247
"113","Store B","Male",9997.55507007174
"114","Store B","Male",10005.0835138483
"115","Store B","Male",10016.6816387472
"116","Store B","Male",10000.7387588718
"117","Store B","Male",9993.06083883714
"118","Store B","Male",10009.4020670477
"119","Store B","Male",9995.51967327868
"120","Store B","Male",10011.5524361108
"121","Store B","Male",9989.7699134617
"122","Store B","Male",9993.58917247228
"123","Store B","Male",10002.8837116226
"124","Store B","Male",9999.89676121586
"125","Store B","Male",10002.8562409223
"126","Store B","Male",9990.19942403165
"127","Store B","Male",9998.5151986357
"128","Store B","Male",9996.65783221678
"129","Store B","Male",9980.26993136611
"130","Store B","Male",9989.42774935309
"131","Store B","Male",9997.23904648237
"132","Store B","Male",10018.2539001856
"133","Store B","Male",10009.1472060079
"134","Store B","Male",9993.61040787097
"135","Store B","Male",9990.49195338935
"136","Store B","Male",9991.34829819536
"137","Store B","Male",9987.21797366325
"138","Store B","Male",10005.5971066702
"139","Store B","Male",10001.3249378249
"140","Store B","Male",10001.8459693078
"141","Store B","Male",9994.82274272598
"142","Store B","Male",9993.71665530239
"143","Store B","Male",9996.47991443424
"144","Store B","Male",9999.03180340266
"145","Store B","Male",9997.21090488487
"146","Store B","Male",10005.9664330969
"147","Store B","Male",9985.77958607813
"148","Store B","Male",10000.8870756501
"149","Store B","Male",10010.4299401925
"150","Store B","Male",9990.06857748262
"151","Store B","Female",4992.24794954108
"152","Store B","Female",4998.65538983186
